"p_id","program","comments","date_added","url","status","term","us_or_international","gpa","gre","gre_v","gre_aw","degree"
1,"Arizona State University, Architecture","NA","2025-06-05","https://www.thegradcafe.com/result/986101","Accepted on 5 Jun","Fall 2025","American","3.5",NULL,NULL,NULL,"Masters"
2,"Carnegie Mellon University, Management Information Systems","NA","2025-06-05","https://www.thegradcafe.com/result/986100","Accepted on 13 Apr","Fall 2025","American","3.2",NULL,NULL,NULL,"Masters"
3,"University of San Diego, Health Informatics","NA","2025-06-05","https://www.thegradcafe.com/result/986099","Accepted on 23 May","Fall 2025","American","3.2",NULL,NULL,NULL,"Masters"
4,"University of Edinburgh, Data Analytics","NA","2025-06-05","https://www.thegradcafe.com/result/986098","Accepted on 13 May","Fall 2025","American","3.2",NULL,NULL,NULL,"Masters"
5,"University of the Arts London, Graphic Branding and Identity","NA","2025-06-04","https://www.thegradcafe.com/result/986097","Accepted on 14 Feb","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
6,"University of Regina, English","Canadian student from Alberta","2025-06-04","https://www.thegradcafe.com/result/986096","Accepted on 2 Jun","Fall 2025","International","3.9",NULL,NULL,NULL,"Masters"
7,"National University of Singapore, Chemistry","NA","2025-06-03","https://www.thegradcafe.com/result/986095","Accepted on 3 Jun","Fall 2025","International","3.6",NULL,NULL,NULL,"PhD"
8,"University of Chicago, Economics","NA","2025-06-03","https://www.thegradcafe.com/result/986094","Accepted on 17 Apr","Fall 2025","International","3.77",NULL,"155","4","Masters"
9,"Pace University, Software Engineering","NA","2025-06-03","https://www.thegradcafe.com/result/986093","Accepted on 3 Jun","Fall 2025","American",NULL,NULL,NULL,NULL,"Masters"
10,"UNC Chapel Hill, Organizational Learning and Leadership","NA","2025-06-03","https://www.thegradcafe.com/result/986092","Rejected on 3 Jun","Fall 2025","American",NULL,NULL,NULL,NULL,"EdD"
11,"Purdue University, Mechanical Engineering","Was nominated for a fellowship early in the year, results got delayed to early April and then I found out I didn't get it because of budget cuts. Then I emailed a few professors, found one that wanted to work with me, and he put in for my admittance. The university froze admissions for over a month and I finally got accepted on 5/30. The grad program coordinator was very helpful, so if you end up in a similar situation, definitely reach out to her.","2025-06-03","https://www.thegradcafe.com/result/986091","Accepted on 30 May","Fall 2025","American","3.84",NULL,NULL,NULL,"PhD"
12,"Delft University of Technology, Systems & Control","Got accepted from an Italian bachelors in Computer Engineering with a 28.5/30 GPA.","2025-06-03","https://www.thegradcafe.com/result/986090","Accepted on 8 Apr","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
13,"Texas Tech University, Mechanical Engineering","Offered MS in Mech Eng.","2025-06-03","https://www.thegradcafe.com/result/986089","Rejected on 3 Jun","Fall 2025","International","3.45",NULL,NULL,NULL,"PhD"
14,"Oregon State University, Geography and Geospatial Science","Rejection was in the body of the email.","2025-06-03","https://www.thegradcafe.com/result/986088","Rejected on 3 Jun","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
15,"Carnegie Mellon University, AI Systems Management","NA","2025-06-03","https://www.thegradcafe.com/result/986087","Accepted on 28 Feb","Fall 2025","American","3.5",NULL,NULL,NULL,"Masters"
16,"Pennsylvania State University, Materials Science And Engineering","10 publications (6 during application), BS GPA-3.59, MS GPA-3.87, 6 years relevant job experience.
Wait listed for a long period of time.","2025-06-03","https://www.thegradcafe.com/result/986086","Rejected on 2 Jun","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
17,"University of Birmingham, Business Economics","NA","2025-06-03","https://www.thegradcafe.com/result/986085","Wait listed on 3 Jun","Fall 2025","International","3.15",NULL,NULL,NULL,"Other"
18,"Washington State University, Speech Language Pathology","Had an interview 2/7","2025-06-02","https://www.thegradcafe.com/result/986084","Wait listed on 7 Mar","Fall 2025","American","3.82",NULL,NULL,NULL,"Masters"
19,"University of Kansas, Speech Language Pathology","NA","2025-06-02","https://www.thegradcafe.com/result/986083","Accepted on 28 Feb","Fall 2025","American","3.82",NULL,NULL,NULL,"Masters"
20,"University of Nebraska - Lincoln, Speech Language Pathology","NA","2025-06-02","https://www.thegradcafe.com/result/986082","Accepted on 25 Feb","Fall 2025","American","3.82",NULL,NULL,NULL,"Masters"
21,"University of Iowa, Audiology","Degree type: AuD","2025-06-02","https://www.thegradcafe.com/result/986081","Rejected on 28 Jan","Fall 2025","American","3.82",NULL,NULL,NULL,"Other"
22,"University of Kansas, Audiology","Degree Type: AuD","2025-06-02","https://www.thegradcafe.com/result/986080","Accepted on 4 Mar","Fall 2025","American","3.82",NULL,NULL,NULL,"Other"
23,"University of Nebraska - Lincoln, Audiology","Degree Type: AuD","2025-06-02","https://www.thegradcafe.com/result/986079","Accepted on 24 Feb","Fall 2025","American","3.82",NULL,NULL,NULL,"Other"
24,"National University of Singapore, Electrical And Computer Engineering","Master's GPA: 3.87.....Two rounds of interviews....do apply for sure","2025-06-02","https://www.thegradcafe.com/result/986078","Accepted on 9 May","Fall 2025","International","3.9",NULL,NULL,NULL,"PhD"
25,"University of Illinois Urbana-Champaign, Physics","NA","2025-06-02","https://www.thegradcafe.com/result/986077","Accepted on 2 Jun","Fall 2025","American","3.75",NULL,NULL,NULL,"Masters"
26,"National University of Singapore, Anthropology","Notification this cycle for 2025/2026 intake seems to be a lot slower than last year's, but glad to receive with funding!","2025-06-02","https://www.thegradcafe.com/result/986076","Accepted on 19 May","Fall 2025","International","3.54",NULL,NULL,NULL,"PhD"
27,"Purdue University, Earth, Environmental and Planetary Sciences","Got an interview in January. Then, during the interview, I was told I might get a visitation in a week or two. I didn't hear anything until my rejection in June!","2025-06-02","https://www.thegradcafe.com/result/986075","Rejected on 2 Jun","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
28,"Texas A&M University - College Station, Data Science","NA","2025-06-02","https://www.thegradcafe.com/result/986074","Accepted on 8 Apr","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
29,"Arizona State University, Data Science. Analytics and Engineering","No funding was offered along with the admission offer.
Applied on Jan 16, I had research (BS & MS) and industrial experience but no publications","2025-06-02","https://www.thegradcafe.com/result/986073","Accepted on 1 Mar","Fall 2025","International","3.53","329","161","4","PhD"
30,"PSL Research University, Biomedical Engineering","Rejected after the interview. I don't know the exact reason, but maybe I was late in applying for the program, and I might not have had the best GPA. I have done a research internship of 2 months and authored two scientific chapters. Really sad after this.","2025-06-01","https://www.thegradcafe.com/result/986072","Rejected on 1 Jun","Fall 2025","International","3.34",NULL,NULL,NULL,"Masters"
31,"University of Waikato, Business Analytics","NA","2025-06-01","https://www.thegradcafe.com/result/986071","Accepted on 1 Jun","Fall 2025","International","3.2",NULL,NULL,NULL,"Masters"
32,"Old Dominion University, English","Waitlisted March, Accepted May. Notified of both via email. 

Accepted and attending :)","2025-05-31","https://www.thegradcafe.com/result/986070","Accepted on 28 May","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
33,"CUNY Graduate School and University Center, Cognitive Neuroscience","Applied in early April. M.S. CogNeuro. Sent email to check online portal.","2025-05-31","https://www.thegradcafe.com/result/986069","Rejected on 30 May","Fall 2025","American","3.2",NULL,NULL,NULL,"Masters"
34,"42 US, Philosophy","i can't kll u without authorization, but i can make sure u get so fcked up it reminds u hard of all the times u raped some student","2025-05-31","https://www.thegradcafe.com/result/986068","Accepted on 31 Mar","Spring 2025","American",NULL,NULL,NULL,NULL,"JD"
35,"Tulane University of Louisiana, Social Work","Got accepted for spring 26 w/ $25k scholarship. Acceptance letter came in portal.","2025-05-31","https://www.thegradcafe.com/result/986067","Accepted on 30 May","Fall 2025","American","3.85",NULL,NULL,NULL,"Masters"
36,"2nd Military Medical University, Philosophy","i fcking died because of nyu. so the snake who came after it, i wish they were so dead...","2025-05-31","https://www.thegradcafe.com/result/986066","Interview on 31 May","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
37,"University of California, Davis, Computer Science","NA","2025-05-30","https://www.thegradcafe.com/result/986065","Rejected on 30 May","Fall 2025","International","3.8","326","158","4.5","Masters"
